"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
202401261646,202401261700,407.1672,4.800462,3.634573,0.1149993,0.4861444,7,9.051046,7,0.01306764,7,-37.17104,7,22.05245,62.35316,31.60059,23.89285,319.1601,4.131439,7.592812,0.2899843,0.02821645,0.1064322,4,58.26849,4.102153,0.7801847,0,0.6895502,2.980232e-08,0.3582615,94.00502,0.7538152,55.51284,-7.099505,3.184337,47.26296,-6.987299,4.100038,3.504642,1.078592,172.031
202401261700,202401261730,408.322,0.3239618,3.618971,0.04145048,-0.01704257,7,4.155946,7,0.006000314,7,-17.22659,7,20.29468,536.08,78.1709,49.25003,315.807,3.003243,5.694624,0.1967599,0.04187372,0.04899018,2,39.264,2.919101,0.6877942,0,0.7332304,-2.980232e-08,0.2794845,100.4987,0.7976117,55.267,-7.154254,3.197853,46.98438,-7.041037,4.098058,3.515518,0.4491672,151.3739
202401261730,202401261800,409.3278,0.4736795,3.538526,0.06423868,-0.489265,1,9.251306,1,0.01336332,1,-36.36681,1,25.54938,893.6098,110.6135,67.37621,324.0143,3.490511,7.399844,0.1923515,0.09453594,0.04674113,3,17.39158,3.466621,0.8918506,0,0.5397568,2.980232e-08,0.244305,100.51,1.296308,52.13872,-7.444232,3.700793,44.34811,-7.331302,4.456301,4.01195,0.3852517,127.5996
202401261800,202401261830,409.9288,0.6224369,3.457535,0.0528719,2.593408,5,12.99943,5,0.01877455,5,22.53478,8,24.91385,68.76608,35.4178,26.80665,309.5269,4.498496,8.563889,0.417709,-0.005994622,0.2205687,4,-274.2675,4.308862,0.9986933,0,1.365867,0,0.5359165,100.5154,1.185682,51.38446,-7.739024,3.54071,43.84134,-7.628633,4.44924,3.844547,0.519387,1381.806
202401261830,202401261900,409.5191,0.4892058,3.38189,0.07912735,-0.182973,2,14.27821,1,0.02061985,1,-42.36005,1,23.46564,66.45482,33.64861,25.43887,324.7358,5.638072,9.666386,0.2823043,0.03467083,0.1007702,1,47.42113,5.590795,1.080607,0,0.8701594,1.192093e-07,0.3903474,100.5065,1.063873,50.69497,-8.028228,3.459542,43.13369,-7.916166,4.478603,3.756592,0.4445961,160.2404
202401261900,202401261930,410.0989,0.5102897,3.28581,0.08431035,-1.335785,3,22.88514,3,0.03305113,3,-59.51376,3,30.79713,86.72993,44.09627,33.34446,330.9655,6.082554,10.46749,0.3650916,0.02245934,0.1685137,3,73.20472,6.086586,0.9821578,0,0.6660978,0,0.3593671,100.5061,1.106342,49.10699,-8.398726,3.510042,41.76187,-8.286658,4.602141,3.798804,0.4100638,188.266
202401261930,202401262000,409.8725,0.8119482,3.205483,0.08851938,0.5761768,7,19.40665,7,0.02801569,7,-16.56469,7,32.16429,90.33959,46.01278,34.79809,322.9708,4.579112,8.540507,0.254712,0.01756628,0.08217054,3,93.59577,4.50661,1.101816,0,0.8821999,5.960464e-08,0.368175,100.5242,0.6982943,49.36758,-8.712034,3.068609,42.06335,-8.601654,4.441867,3.349779,0.5746085,210.4302
202401262000,202401262030,410.0388,0.7441083,3.036215,0.1367995,-0.5111357,7,28.26777,7,0.0408123,7,-31.29855,7,38.2679,107.4979,54.75876,41.41084,327.0486,5.489628,9.6398,0.3090921,0.01887802,0.1209596,1,87.09226,5.457306,1.116482,0,0.824075,0,0.3586465,100.5253,0.7876708,46.4814,-9.411169,3.187005,39.56566,-9.300187,4.677784,3.453358,0.6816698,203.3612
202401262030,202401262100,409.3074,0.442762,2.969391,0.1232768,-0.5033125,7,24.16724,7,0.03487725,7,-23.73019,7,31.60768,88.64604,45.19185,34.17981,320.3799,4.892801,8.906693,0.3027889,0.0151217,0.1162787,3,108.7265,4.821412,1.273773,0,0.913176,0,0.4079712,100.5349,0.414508,46.6941,-9.687074,2.739086,39.90501,-9.579612,4.499536,2.999406,0.515496,226.8766
202401262100,202401262130,408.7404,0.3750412,2.825381,0.1085151,-0.631105,2,32.50033,1,0.04688767,1,-34.34825,2,30.38589,84.99822,43.40345,32.83112,317.9266,5.250751,9.568308,0.3830941,0.01085531,0.1863919,1,151.4585,5.177655,1.076819,0,0.9771925,0,0.4725938,100.5398,0.03885137,45.649,-10.3144,2.388613,38.90633,-10.20617,4.456618,2.635883,0.3322241,263.5657
