"TOA5","36719","CR1000X","36719","CR1000X.Std.06.01","CPU:EasyFlux_DL_CR1000XOP_v3.cr1x","12308","Flux_CSFormat"
"TIMESTAMP","RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","PA","VPD","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","FP_EQUATION"
"TS","RN","mg m-2 s-1","Grade","samples","W m-2","Grade","samples","W m-2","grade","samples","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","mg m-3","mg m-3","g m-3","g m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","m","m","m","m","m","%","authors"
"","","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-01-25 22:30:00",0,0.0001274759,9,7621,0.02135252,9,7621,-0.09930558,9,7621,-4.650766,1.044414E-05,9,0.002960754,0.02795917,0.0001285778,17.74484,23.85489,-3.154115,0.48647,2.039288,19.6082,21.36606,-3.068457,0.4895861,2.29143,100.2898,18.01844,-0.002013737,0.0116417,-0.01298954,0.008239807,-0.002188096,0.007330198,20.06416,0.0295578,346,0.0181358,0.01314473,261.1877,42.49262,84.81226,0.03711662,780.8964,0.2825613,3.623704,0.009495616,0.967711,0.9599866,96.85481,-17.31131,-84.62035,-18.58923,"NAN",0,1.064944,24.42825,5.685571,2.729612,164.413,98.3867,"KormannMeixner"
"2024-01-25 23:00:00",1,-0.001019789,9,36000,-0.02434884,9,36000,0.02114038,9,36000,-0.8682297,4.009E-05,4,0.005801223,-0.003038237,0.0001717394,17.79312,23.69832,-3.201691,0.4847479,2.045499,19.56664,21.33897,-3.120196,0.487703,2.285537,100.2585,17.97833,-0.004795714,0.009214865,-0.009202107,0.013481,-8.943973E-06,0.00876514,20.02064,0.07448194,346,0.01752764,0.01037677,242.4737,51.73716,103.5263,0.04803143,779.475,0.6040021,3.610278,0.0138981,0.9675148,0.9597798,102.5207,-16.62504,-81.19313,-18.83067,"NAN",0,0.4397643,7.31529,1.96277,0.7619251,164.413,105.1788,"KormannMeixner"
"2024-01-25 23:30:00",2,-0.0003678984,8,36000,0.008680604,8,36000,0.07107701,8,36000,8.188025,2.966189E-05,7,0.004989396,-0.01187427,0.0001308195,17.78109,23.65954,-3.233741,0.4835887,2.043948,19.50323,21.36821,-3.154618,0.4864513,2.276537,100.2607,17.90086,0.001740701,0.009573633,-0.0146357,0.01136649,-0.001636644,0.006386513,19.95602,0.0487913,346,0.0194575,0.01473891,276.7826,39.88851,69.21741,0.05194339,777.6841,0.4951574,3.601793,0.009977152,0.9674031,0.9596719,109.7407,-15.14956,-73.69392,-18.82554,"NAN",0,0.8807614,9.084822,2.58289,1.43883,164.413,100.5933,"KormannMeixner"
"2024-01-26 00:00:00",3,-6.417242E-05,9,36000,0.005204551,9,36000,-0.02616293,9,36000,-5.026934,3.073184E-05,9,0.005078305,0.004293919,0.0001471972,17.79156,23.48371,-3.324855,0.4803118,2.045297,19.48836,21.24109,-3.246955,0.4831131,2.274427,100.2654,17.91314,0.007643587,0.011113,-0.01804523,0.01146126,-0.004538143,0.006287682,19.9379,0.03107467,346,0.02379073,0.01959726,292.9565,34.00697,53.04352,0.05264621,776.5955,0.3257864,3.577258,0.01214793,0.9672278,0.9594741,116.9253,-13.73859,-66.19495,-18.82036,"NAN",0,0.7644061,16.97491,4.684738,2.017622,164.413,99.18721,"KormannMeixner"
"2024-01-26 00:30:00",4,-0.0001064487,9,36000,-0.008702676,9,36000,-0.003527988,9,36000,0.4053912,1.29528E-05,9,0.003297564,0.0008920862,0.0001964321,17.79218,23.22157,-3.474612,0.4749672,2.045377,19.57812,20.8944,-3.392732,0.4778828,2.287153,100.2542,18.0927,0.006849156,0.01355411,-0.01060995,0.01294775,-0.00235743,0.006442514,20.02281,0.04245252,346,0.02070706,0.01262862,302.8438,50.59289,43.15616,0.05400749,775.5758,0.3334732,3.537445,0.01256858,0.9671223,0.9593725,124.0851,-12.41381,-58.69645,-18.81507,"NAN",0,1.079854,26.29841,5.894906,2.90683,164.413,98.14089,"KormannMeixner"
"2024-01-26 01:00:00",5,-2.348645E-05,9,36000,-0.005764071,9,36000,0.01518503,9,36000,-2.634429,2.742759E-05,6,0.004798229,-0.00263855,0.0001969209,17.79253,23.10661,-3.540582,0.4726276,2.045421,19.51456,20.86919,-3.461666,0.4754249,2.278141,100.2427,18.02716,0.009430039,0.01321371,-0.01314347,0.01205119,-0.002659381,0.008602818,19.95753,0.05440069,346,0.022295,0.01617639,305.6583,42.43339,40.34171,0.05657412,774.8834,0.2643055,3.520015,0.006083827,0.9670246,0.9592636,131.2303,-11.19562,-51.19759,-18.80989,"NAN",0,1.265373,10.49515,3.450941,2.070046,164.413,100.0053,"KormannMeixner"
"2024-01-26 01:30:00",6,3.344993E-05,9,36000,0.0290522,9,36000,-0.04601574,9,36000,-1.583899,2.665896E-05,9,0.004730699,0.00811043,0.0001729362,17.76258,23.16506,-3.532057,0.4729311,2.041567,19.58499,20.79856,-3.448541,0.4758937,2.288133,100.2593,18.12239,0.008936196,0.01170184,-0.007056714,0.0125826,-0.001651324,0.007114594,20.02828,0.05101504,346,0.0185257,0.01138651,321.7027,50.2831,24.29733,0.04713798,774.143,0.2589645,3.522638,0.0117312,0.9668568,0.9591033,138.3683,-10.1026,-43.69839,-18.80476,"NAN",0,0.1916976,5.934462,2.17723,0.566988,164.413,119.7949,"KormannMeixner"
"2024-01-26 02:00:00",7,0.0002283977,8,36000,-0.0005843634,8,36000,0.1592371,8,36000,-272.4967,2.492179E-06,7,0.001446402,-0.09179071,0.0001976478,17.7882,23.33505,-3.412694,0.4771705,2.044865,19.5941,20.97216,-3.329859,0.480132,2.289435,100.266,18.09303,0.01777371,0.01218113,-0.004915143,0.0140461,-0.0009147268,0.007044339,20.04044,0.06489071,346,0.02427658,0.01844084,344.5418,39.71358,1.458221,0.05683369,773.6611,0.2314986,3.553902,0.01174727,0.9667873,0.9590273,145.504,-9.151523,-36.19984,-18.79946,"NAN",0,6.713962,42.27279,13.93943,10.28277,164.413,99.02037,"KormannMeixner"
