"TOA5","36719","CR1000X","36719","CR1000X.Std.06.01","CPU:EasyFlux_DL_CR1000XOP_v3.cr1x","12308","Flux_Notes"
"TIMESTAMP","RECORD","UxUy_Cov","UxUz_Cov","UyUz_Cov","TsUx_Cov","TsUy_Cov","TsUz_Cov","USTAR_R","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","UV_Cov","UW_Cov","VW_Cov","UT_SONIC_Cov","VT_SONIC_Cov","WT_SONIC_Cov","UW_Cov_fc","VW_Cov_fc","WT_SONIC_Cov_fc","WT_SONIC_Cov_fc_SND","sonic_samples","diag_sonic_aggregate","no_sonic_head_Tot","no_new_sonic_data_Tot","sonic_amp_l_f_Tot","sonic_amp_h_f_Tot","sonic_sig_lck_f_Tot","sonic_del_T_f_Tot","sonic_aq_sig_f_Tot","sonic_cal_err_f_Tot","UxCO2_Cov","UyCO2_Cov","UzCO2_Cov","UxH2O_Cov","UyH2O_Cov","UzH2O_Cov","UCO2_Cov","VCO2_Cov","WCO2_Cov","UH2O_Cov","VH2O_Cov","WH2O_Cov","WCO2_Cov_fc","WH2O_Cov_fc","CO2_E_WPL_fc","CO2_T_WPL_fc","H2O_E_WPL_fc","H2O_T_WPL_fc","CO2_samples","H2O_samples","diag_irga_aggregate","no_irga_head_Tot","no_new_irga_data_Tot","irga_bad_data_f_Tot","irga_gen_fault_f_Tot","irga_startup_f_Tot","irga_motor_spd_f_Tot","irga_tec_tmpr_f_Tot","irga_src_pwr_f_Tot","irga_src_tmpr_f_Tot","irga_src_curr_f_Tot","irga_off_f_Tot","irga_sync_f_Tot","irga_amb_tmpr_f_Tot","irga_amb_press_f_Tot","irga_CO2_I_f_Tot","irga_CO2_Io_f_Tot","irga_H2O_I_f_Tot","irga_H2O_Io_f_Tot","irga_CO2_Io_var_f_Tot","irga_H2O_Io_var_f_Tot","irga_CO2_sig_strgth_f_Tot","irga_H2O_sig_strgth_f_Tot","irga_cal_err_f_Tot","irga_htr_ctrl_off_f_Tot","alpha","beta","gamma","height_measurement","height_canopy","surface_type_text","displacement_user","d","roughness_user","z0","z","MO_LENGTH","ZL","iteration_FreqFactor","latitude","longitude","altitude","UTC_OFFSET","separation_x_irga","separation_y_irga","separation_lat_dist_irga","separation_lag_dist_irga","separation_lag_scan_irga","MAX_LAG","lag_irga","FreqFactor_UW_VW","FreqFactor_WT_SONIC","FreqFactor_WCO2_WH2O","rho_d_amb","rho_a_amb","rho_d","rho_a","Cp","Lv","T_panel","V_batt","slowsequence_Tot","process_time","process_time_Max","buff_depth_Max"
"TS","RN","m2 s-2","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","deg C m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","m2 s-2","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","deg C m s-1","m2 s-2","m2 s-2","deg C m s-1","deg C m s-1","samples","adimensional","samples","samples","samples","samples","samples","samples","samples","samples","mg m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","g m-2 s-1","mg m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","g m-2 s-1","mg m-2 s-1","g m-2 s-1","mg m-2 s-1","mg m-2 s-1","g m-2 s-1","g m-2 s-1","samples","samples","adimensional","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","Decimal degrees","Decimal degrees","Decimal degrees","m","m","","m","m","m","m","m","m","adimensional","","Decimal degrees","Decimal degrees","m","","m","m","m","m","scans","","scans","adimensional","adimensional","adimensional","g m-3","kg m-3","g m-3","kg m-3","J kg-1 deg C-1","J g-1","deg C","V","samples","ms","ms","scans"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Max","Max"
"2024-01-25 22:30:00",0,-8.756664E-06,7.75619E-06,5.51898E-06,-8.162949E-05,7.609715E-05,-6.213883E-05,0.00276542,0.01332558,0.00828426,0,0.01168731,0,0.007206475,-2.987546E-06,-4.162244E-06,6.41566E-06,-5.163913E-05,-9.232377E-05,-7.158983E-05,-4.771006E-06,7.354001E-06,-8.169183E-05,-8.278021E-05,7621,0,0,0,0,0,0,0,0,0,0.0004500071,-0.0003714629,0.0002199862,-7.742339E-05,7.130151E-06,6.895087E-06,0.0002579691,0.0005016022,0.0002659554,3.617514E-06,-7.760178E-05,7.592144E-06,0.0003391308,9.681059E-06,1.023437E-05,-0.0002218892,4.749201E-08,-1.029664E-06,7621,7621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.450924,0,261.1877,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,0.02316116,70.98651,2,78.222,15.657,1356,-7,0,0,0,-0,-0,5,0,1.146258,1.141109,1.275142,1195.451,1.199075,1187.805,1.191429,1006.883,2454.627,18.59153,11.88725,77,22.40592,29.943,0
"2024-01-25 23:00:00",1,5.870246E-06,7.361652E-06,1.897397E-05,-3.032942E-05,0.0001037444,1.171586E-05,0.004502477,0.01037679,0.01288035,0,0.01003905,0,0.008763153,3.632147E-05,-2.015154E-05,-2.209335E-06,-7.799354E-05,-7.484225E-05,1.164864E-05,-3.345373E-05,-3.667733E-06,1.638459E-05,1.762549E-05,36000,0,0,0,0,0,0,0,0,0,8.615339E-05,-0.001582903,-0.0007347881,-1.574446E-05,6.868965E-05,-6.960173E-06,0.001364532,0.0008079494,-0.0007336123,-5.363146E-05,-4.570752E-05,-7.006402E-06,-0.001056306,-1.008831E-05,-1.064711E-05,4.716433E-05,-4.9314E-08,2.1845E-07,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04938444,0,242.4737,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,-0.8685418,-1.892977,2,78.222,15.657,1356,-7,0,0,0,-0,-0,5,0,1.660107,1.406566,1.43987,1194.898,1.198508,1187.623,1.191234,1006.873,2454.725,18.64219,12.06259,360,22.55735,29.123,0
"2024-01-25 23:30:00",2,-3.027096E-05,1.128908E-06,-6.062965E-06,0.0001742361,-0.0001652831,2.550222E-05,0.004089625,0.01482945,0.01154411,0,0.009223773,0,0.006579859,2.482611E-05,1.642299E-05,3.164206E-06,0.0001807612,0.0001534964,4.57312E-05,2.44445E-05,4.709705E-06,5.968742E-05,5.924541E-05,36000,0,0,0,0,0,0,0,0,0,-0.002276535,0.002986386,-3.994256E-05,-7.27114E-06,6.041977E-06,2.866102E-06,-0.003210184,-0.001907903,-0.0003966558,-7.13285E-06,-6.506681E-06,2.091666E-06,-0.000529039,2.789756E-06,2.93678E-06,0.0001582038,1.36015E-08,7.327105E-07,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.336325,0,276.7826,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,-0.1516467,-10.84184,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.488432,1.305179,1.333748,1194.989,1.198591,1187.923,1.191524,1006.866,2454.875,18.6617,12.05656,360,22.7014,31.45,0
"2024-01-26 00:00:00",3,3.597331E-05,5.912115E-06,-7.440758E-06,-4.537884E-06,7.309602E-05,-3.56487E-06,0.004773414,0.0201159,0.009848996,0,0.01226922,0,0.006845273,-2.770732E-05,2.246517E-05,-3.807164E-06,-6.64918E-05,2.433129E-05,-1.905668E-05,2.542664E-05,-4.309044E-06,-2.154073E-05,-2.180583E-05,36000,0,0,0,0,0,0,0,0,0,0.0001410583,0.000262497,3.628037E-05,3.512574E-06,6.49599E-06,3.006251E-06,-0.0001900623,0.0002322689,-6.772243E-06,-5.170825E-06,5.768026E-06,1.888397E-06,-8.522341E-06,2.3764E-06,2.49781E-06,-5.814789E-05,1.150574E-08,-2.678485E-07,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03815,0,292.9565,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,0.4430381,3.711035,4,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.131825,1.13035,1.258422,1195.041,1.198618,1188.079,1.191656,1006.846,2454.91,18.68044,12.05385,360,22.56133,29.953,0
"2024-01-26 00:30:00",4,4.705125E-05,-4.68938E-06,5.431004E-06,-0.0001071694,0.0001827087,3.637536E-05,0.003127066,0.01284677,0.01136193,0,0.01489515,2.328306E-10,0.006473414,-1.166213E-05,9.244106E-06,-3.188469E-06,-0.0002147079,9.053649E-06,-3.076591E-06,1.027963E-05,-3.54564E-06,-3.385267E-06,-2.941711E-06,36000,0,0,0,0,0,0,0,0,0,-0.0002354444,8.113869E-05,-4.403538E-05,-7.373485E-06,-4.71274E-06,-2.95752E-06,-0.0001844558,-0.0001538034,-7.92291E-05,5.037874E-07,-8.750807E-06,-2.914566E-06,-9.494954E-05,-3.492866E-06,-3.667842E-06,-7.831319E-06,-1.672924E-08,-3.571909E-08,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57391,0,302.8438,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,0.7720715,2.129505,3,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.112019,1.10033,1.198418,1194.967,1.198505,1187.642,1.19118,1006.815,2454.698,18.71265,12.0487,360,22.69213,31.575,0
"2024-01-26 01:00:00",5,1.036387E-05,7.534964E-06,1.147889E-05,-0.0001371391,0.0002379545,5.469936E-05,0.003983772,0.01639356,0.01204557,0,0.01320752,0,0.008620175,8.372604E-06,6.752462E-06,1.436228E-05,-0.0002785387,2.728886E-05,9.642208E-06,9.795691E-06,2.083514E-05,1.236667E-05,1.266037E-05,36000,0,0,0,0,0,0,0,0,0,7.356517E-05,-0.000563513,-0.0001245227,-1.047432E-06,-3.375171E-06,-2.275938E-06,0.0005143113,-0.0002687275,-4.164213E-05,2.472722E-06,-2.818603E-06,-1.899976E-06,-5.455565E-05,-2.489172E-06,-2.611203E-06,3.36804E-05,-1.186175E-08,1.529979E-07,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.335841,0,305.6583,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,-0.650975,-2.525642,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.450684,1.282555,1.310107,1194.856,1.198376,1187.793,1.191313,1006.801,2454.848,18.73944,12.04347,360,22.5706,29.127,0
"2024-01-26 01:30:00",6,-2.632503E-05,7.300234E-06,9.01017E-06,-0.00016077,0.0003155309,1.404894E-05,0.004411912,0.01150564,0.01297073,0,0.01115791,0,0.007289269,-1.799939E-05,1.720341E-05,9.106445E-06,-0.0003204066,0.0001479943,-3.227089E-05,1.977933E-05,1.046998E-05,-3.688717E-05,-3.836801E-05,36000,0,0,0,0,0,0,0,0,0,0.0003092689,-0.0004018419,2.562086E-05,1.778579E-06,-1.520433E-05,8.112159E-06,0.0004829861,-0.0001237006,9.59337E-05,9.54232E-06,-1.083018E-05,9.580893E-06,0.0001225689,1.224095E-05,1.282981E-05,-0.0001019488,5.838038E-08,-4.639049E-07,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.251761,0,321.7027,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,0.2092086,7.858804,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.149733,1.143048,1.277642,1195.175,1.198697,1187.699,1.191221,1006.803,2454.681,18.76543,12.03821,360,22.73711,29.95,0
"2024-01-26 02:00:00",7,2.732801E-05,-3.086555E-06,1.417484E-06,-0.0001283958,0.0005175123,0.0001190282,0.001221522,0.01846348,0.01174433,0,0.01441731,-1.164153E-10,0.007036148,1.083947E-05,1.027601E-06,1.081873E-06,-0.000267262,0.0004645693,0.0001059174,1.440787E-06,1.516881E-06,0.0001327362,0.0001327663,36000,0,0,0,0,0,0,0,0,0,-0.0001368345,-0.001285538,-0.0001060888,1.678805E-05,-3.281861E-05,-2.682997E-06,0.0002157542,-0.001275505,-9.551711E-05,2.503038E-05,-2.715679E-05,-1.444704E-06,-0.0001222275,-1.8487E-06,-1.936439E-06,0.0003525616,-8.895259E-09,1.619533E-06,36000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839738,0,344.5418,2,0.5,"Grass",0,0.3558702,0,0.06651102,1.64413,-0.001661785,-989.376,2,78.222,15.657,1356,-7,0,0,0,0,0,5,0,1.402088,1.253205,1.27964,1195.099,1.198653,1187.691,1.191245,1006.828,2454.66,18.79037,12.03283,360,22.53655,29.963,0
