 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.533
averaging_interval_[min]_=_     10
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.244141E-02,0.867684E-03,0.118555,0.859697E-02,0.185296E-02,0.509134E-01,0.525280,0.290257E-01,-9999.0,-9999.0,-0.393845E-01,-0.144111E-01,-0.238320E-01,-0.339521,-0.174735E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.488281E-02,0.173537E-02,0.330087,0.171607,0.642659E-03,0.134369,0.628371,0.143407,-9999.0,-9999.0,0.545321E-02,0.179698,0.591001E-02,-0.134885,0.191689E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.732422E-02,0.260305E-02,0.853078E-01,0.378648E-01,0.308203E-02,0.534252E-01,0.185568,0.968849E-01,-9999.0,-9999.0,0.401794E-01,0.410993E-01,0.349146E-01,-0.148226,0.418488E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.976562E-02,0.347074E-02,0.173133E-01,0.739199E-02,0.372125E-02,0.190677E-01,0.415240E-01,0.223994E-01,-9999.0,-9999.0,0.194410E-01,0.499243E-01,0.198499E-01,-0.272735E-01,0.238904E-01,-9999.0,-9999.0
1,0.122070E-01,0.433842E-02,0.700499E-01,0.370760E-01,0.270007E-01,0.189427,0.248221,0.143588,-9999.0,-9999.0,0.109892,0.493614,0.150913,0.395509,0.131835,-9999.0,-9999.0
1,0.146484E-01,0.520611E-02,0.298640E-02,0.387281E-02,0.192014E-01,0.568162E-01,0.280824,0.473017E-01,-9999.0,-9999.0,0.170913E-01,-0.157120,0.898490E-01,0.771553,0.776509E-01,-9999.0,-9999.0
1,0.170898E-01,0.607379E-02,0.434645E-01,0.239741E-02,0.158883E-01,0.147080,0.847962E-02,0.165168,-9999.0,-9999.0,0.633229E-01,-0.999078E-01,0.130523,0.165753E-01,0.130891,-9999.0,-9999.0
2,0.207520E-01,0.737532E-02,0.221590E-01,0.116382,0.259512E-01,0.639329E-01,0.140626,0.472499E-01,-9999.0,-9999.0,-0.251514E-02,0.783892,0.406448E-01,-0.506071,0.636308E-01,-9999.0,-9999.0
2,0.256348E-01,0.911069E-02,0.119375,0.179364,0.429779E-01,0.279658,0.556348E-01,0.277120,-9999.0,-9999.0,-0.146747,1.66838,-0.253960,-0.537551,-0.240578,-9999.0,-9999.0
2,0.305176E-01,0.108461E-01,0.236198,0.127850,0.369597E-02,0.207946,0.828266E-01,0.195072,-9999.0,-9999.0,0.327564E-01,-0.453027E-01,0.164239E-01,-0.776679E-01,0.194060E-01,-9999.0,-9999.0
2,0.354004E-01,0.125814E-01,0.356109E-01,0.129006E-01,0.106687E-01,0.863035E-01,0.110078,0.676649E-01,-9999.0,-9999.0,0.174767E-01,0.281569E-01,0.204275E-01,0.434680E-02,0.181259E-01,-9999.0,-9999.0
3,0.415039E-01,0.147506E-01,0.188969,0.954730E-01,0.917395E-01,0.180022,0.122936,0.151820,-9999.0,-9999.0,0.335224,-0.100496,0.166733,-0.444876,0.173367,-9999.0,-9999.0
4,0.500488E-01,0.177875E-01,0.106820,0.252057,0.110006,0.143554,0.106322,0.106307,-9999.0,-9999.0,0.237029,1.87353,0.216123,-0.510709,0.191056,-9999.0,-9999.0
4,0.598145E-01,0.212583E-01,0.296450,0.212468,0.623045E-01,0.395867,0.640227E-01,0.421846,-9999.0,-9999.0,0.295805,-0.387335,0.320710,-0.176856E-01,0.325105,-9999.0,-9999.0
5,0.708008E-01,0.251628E-01,0.653234E-01,0.126407,0.213182E-01,0.509674E-01,0.336923E-01,0.474511E-01,-9999.0,-9999.0,0.747020E-01,0.250019E-01,0.597535E-01,-0.806933E-01,0.546101E-01,-9999.0,-9999.0
6,0.842285E-01,0.299351E-01,0.877234E-01,0.280109,0.605503E-01,0.860860E-01,0.373965E-01,0.789713E-01,-9999.0,-9999.0,0.148167,0.884853,0.147325,0.373660,0.136894,-9999.0,-9999.0
7,0.100098,0.355751E-01,0.229075,0.197494,0.122415,0.319189,0.184441E-01,0.349895,-9999.0,-9999.0,0.381241,0.206684,0.495980,0.102243,0.500310,-9999.0,-9999.0
8,0.118408,0.420827E-01,0.866490E-01,0.163276,0.836610E-01,0.104257,0.812968E-02,0.118576,-9999.0,-9999.0,0.796416E-01,0.624302,0.826261E-01,-0.183997E-01,0.789441E-01,-9999.0,-9999.0
