Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.966
wind_speed_[m+1s-1]_=_  5.453
averaging_interval_[min]_=_     10
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.2878691233527017E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.244141E-02,0.880464E-03,0.390873E-01
0.488281E-02,0.176093E-02,-0.282933E-02
0.732422E-02,0.264139E-02,0.162919
0.976562E-02,0.352185E-02,0.326303E-01
0.122070E-01,0.440232E-02,0.181804E-01
0.146484E-01,0.528278E-02,0.179545
0.170898E-01,0.616325E-02,-0.965613E-01
0.195312E-01,0.704371E-02,0.225963
0.219727E-01,0.792417E-02,0.561297E-01
0.244141E-01,0.880464E-02,0.409444E-01
0.268555E-01,0.968510E-02,0.151258
0.292969E-01,0.105656E-01,0.494033E-01
0.317383E-01,0.114460E-01,0.459669E-01
0.341797E-01,0.123265E-01,0.151498
0.366211E-01,0.132070E-01,0.135871
0.390625E-01,0.140874E-01,0.318150
0.415039E-01,0.149679E-01,0.225137
0.439453E-01,0.158483E-01,-0.300748E-02
0.463867E-01,0.167288E-01,0.276734
0.488281E-01,0.176093E-01,0.645890
0.512695E-01,0.184897E-01,0.233828
0.537109E-01,0.193702E-01,0.364052E-01
0.561523E-01,0.202507E-01,0.506817E-01
0.585938E-01,0.211311E-01,0.118837
0.610352E-01,0.220116E-01,-0.255843E-01
0.634766E-01,0.228921E-01,0.586504
0.659180E-01,0.237725E-01,-0.922277E-02
0.683594E-01,0.246530E-01,0.776788E-01
0.708008E-01,0.255334E-01,0.317845
0.732422E-01,0.264139E-01,0.599975E-02
0.756836E-01,0.272944E-01,0.336047
0.781250E-01,0.281748E-01,0.494121E-01
0.805664E-01,0.290553E-01,0.117953
0.830078E-01,0.299358E-01,0.190343
0.854492E-01,0.308162E-01,0.259131E-02
0.878906E-01,0.316967E-01,0.109974
0.903320E-01,0.325772E-01,0.470797
0.927734E-01,0.334576E-01,0.152726
0.952148E-01,0.343381E-01,0.509505
0.976562E-01,0.352185E-01,0.106798
0.100098,0.360990E-01,-0.214106
0.102539,0.369795E-01,0.113635
0.104980,0.378599E-01,0.203593
0.107422,0.387404E-01,0.113098
0.109863,0.396209E-01,0.921895E-01
0.112305,0.405013E-01,0.292773
0.114746,0.413818E-01,0.497435E-01
0.117188,0.422623E-01,-0.259637E-01
0.119629,0.431427E-01,0.480873
0.122070,0.440232E-01,0.742582
0.124512,0.449036E-01,0.251892
0.126953,0.457841E-01,-0.786744E-01
0.129395,0.466646E-01,0.764207
0.131836,0.475450E-01,-0.198926E-01
0.134277,0.484255E-01,0.340781E-02
0.136719,0.493060E-01,0.121888E-01
0.139160,0.501864E-01,0.135842
0.141602,0.510669E-01,-0.334161E-01
0.144043,0.519474E-01,0.218455
0.146484,0.528278E-01,0.266961
0.148926,0.537083E-01,0.471116E-01
0.151367,0.545887E-01,-0.354429E-01
0.153809,0.554692E-01,0.112919
0.156250,0.563497E-01,-0.717362E-02
0.158691,0.572301E-01,-0.180302E-01
0.161133,0.581106E-01,-0.228216E-01
0.163574,0.589911E-01,-0.229534
0.166016,0.598715E-01,0.468666
0.168457,0.607520E-01,0.440047E-02
0.170898,0.616325E-01,0.327015E-01
0.173340,0.625129E-01,0.299007
0.175781,0.633934E-01,0.489034
0.178223,0.642738E-01,0.170090E-01
0.180664,0.651543E-01,0.101356E-01
0.183105,0.660348E-01,-0.223816E-01
0.185547,0.669152E-01,0.341993
0.187988,0.677957E-01,0.644513
0.190430,0.686762E-01,0.214468
0.192871,0.695566E-01,0.879626E-04
0.195312,0.704371E-01,0.234508
0.197754,0.713176E-01,0.174239
0.200195,0.721980E-01,0.477232E-01
0.202637,0.730785E-01,0.597423E-01
0.205078,0.739589E-01,0.581691
0.207520,0.748394E-01,0.301274
0.209961,0.757199E-01,-0.472182E-01
0.212402,0.766003E-01,-0.710577E-01
0.214844,0.774808E-01,0.262713E-01
0.217285,0.783613E-01,0.687751
0.219727,0.792417E-01,0.156643
0.222168,0.801222E-01,0.767408E-01
0.224609,0.810027E-01,0.195119
0.227051,0.818831E-01,0.119186
0.229492,0.827636E-01,0.124058
0.231934,0.836440E-01,0.493076E-01
0.234375,0.845245E-01,0.369538
0.236816,0.854050E-01,0.932250E-02
0.239258,0.862854E-01,0.152291
0.241699,0.871659E-01,0.175128E-01
0.244141,0.880464E-01,0.168049
0.246582,0.889268E-01,0.134249
0.249023,0.898073E-01,0.506073E-02
0.251465,0.906877E-01,-0.140921
0.253906,0.915682E-01,1.01922
0.256348,0.924487E-01,0.236419
0.258789,0.933291E-01,0.143743
0.261230,0.942096E-01,0.893734
0.263672,0.950901E-01,-0.276526E-02
0.266113,0.959705E-01,0.596105
0.268555,0.968510E-01,0.264574
0.270996,0.977315E-01,-0.735081E-01
0.273438,0.986119E-01,0.452367E-01
0.275879,0.994924E-01,0.307761E-01
0.278320,0.100373,-0.201113E-01
0.280762,0.101253,1.54125
0.283203,0.102134,0.103151
0.285645,0.103014,0.257588
0.288086,0.103895,0.109632
0.290527,0.104775,-0.163483
0.292969,0.105656,0.101869
0.295410,0.106536,0.176858
0.297852,0.107417,0.638811
0.300293,0.108297,-0.175532
0.302734,0.109177,0.161390
0.305176,0.110058,0.472853E-01
0.307617,0.110938,0.181429E-01
0.310059,0.111819,0.809406E-01
0.312500,0.112699,0.131633
0.314941,0.113580,0.164695
0.317383,0.114460,0.840539
0.319824,0.115341,0.585896
0.322266,0.116221,-0.140426
0.324707,0.117102,0.497391
0.327148,0.117982,0.147187
0.329590,0.118863,-0.106789
0.332031,0.119743,0.920690E-01
0.334473,0.120624,0.493699E-01
0.336914,0.121504,0.197174E-01
0.339355,0.122384,0.413451
0.341797,0.123265,0.653438E-01
0.344238,0.124145,0.247255
0.346680,0.125026,-0.744796E-01
0.349121,0.125906,1.00318
0.351562,0.126787,0.511630E-01
0.354004,0.127667,0.720994E-01
0.356445,0.128548,0.334349
0.358887,0.129428,-0.226159E-01
0.361328,0.130309,0.527893
0.363770,0.131189,0.200840
0.366211,0.132070,0.658121E-01
0.368652,0.132950,-0.113460
0.371094,0.133830,0.117822
0.373535,0.134711,-0.765076E-02
0.375977,0.135591,0.289792
0.378418,0.136472,0.631394
0.380859,0.137352,-0.162282E-01
0.383301,0.138233,0.606501
0.385742,0.139113,0.179537
0.388184,0.139994,0.117788E-01
0.390625,0.140874,0.508484
0.393066,0.141755,0.131627E-01
0.395508,0.142635,0.414869
0.397949,0.143516,0.345827
0.400391,0.144396,0.682161
0.402832,0.145276,0.279472
0.405273,0.146157,0.134338
0.407715,0.147037,0.508853E-01
0.410156,0.147918,-0.692679E-02
0.412598,0.148798,0.407131E-01
0.415039,0.149679,0.144704
0.417480,0.150559,0.663716
0.419922,0.151440,-0.104795
0.422363,0.152320,0.110329
0.424805,0.153201,0.844417E-01
0.427246,0.154081,0.241803
0.429688,0.154962,0.385969E-01
0.432129,0.155842,0.957144E-01
0.434570,0.156723,0.712252
0.437012,0.157603,0.375386
0.439453,0.158483,0.801815
0.441895,0.159364,-0.229282
0.444336,0.160244,0.501088E-01
0.446777,0.161125,1.06266
0.449219,0.162005,0.575822E-01
0.451660,0.162886,0.361236E-01
0.454102,0.163766,0.387065E-01
0.456543,0.164647,0.208601E-02
0.458984,0.165527,-0.114090
0.461426,0.166408,0.103790
0.463867,0.167288,-0.147449
0.466309,0.168169,0.153130E-02
0.468750,0.169049,0.159794
0.471191,0.169929,-0.144256
0.473633,0.170810,0.421883
0.476074,0.171690,0.666544E-01
0.478516,0.172571,-0.486268
0.480957,0.173451,0.158824
0.483398,0.174332,0.314431
0.485840,0.175212,0.184574
0.488281,0.176093,0.101107E-01
0.490723,0.176973,-0.648056E-01
0.493164,0.177854,0.647627
0.495605,0.178734,-0.407435E-01
0.498047,0.179615,-0.100965
0.500488,0.180495,0.244922
0.502930,0.181375,0.350927
0.505371,0.182256,-0.265244E-02
0.507812,0.183136,0.115068
0.510254,0.184017,-0.396121
0.512695,0.184897,-0.256023E-01
0.515137,0.185778,-0.224937
0.517578,0.186658,0.465005
0.520020,0.187539,0.121004
0.522461,0.188419,0.974259E-01
0.524902,0.189300,0.198958
0.527344,0.190180,-0.213466
0.529785,0.191061,0.855137E-01
0.532227,0.191941,-0.200116E-02
0.534668,0.192822,-0.263606
0.537109,0.193702,-0.440020E-01
0.539551,0.194582,-0.159444
0.541992,0.195463,0.526328
0.544434,0.196343,-0.255829
0.546875,0.197224,-0.194842
0.549316,0.198104,-0.244326E-01
0.551758,0.198985,0.147920
0.554199,0.199865,1.52518
0.556641,0.200746,0.447167
0.559082,0.201626,0.260887
0.561523,0.202507,-0.151285E-02
0.563965,0.203387,-0.517502E-01
0.566406,0.204268,0.860672E-01
0.568848,0.205148,0.453595E-01
0.571289,0.206028,0.144224
0.573730,0.206909,0.273654
0.576172,0.207789,0.393551E-01
0.578613,0.208670,0.943252E-01
0.581055,0.209550,0.144452
0.583496,0.210431,0.277673
0.585938,0.211311,0.363074
0.588379,0.212192,0.238352
0.590820,0.213072,0.299069
0.593262,0.213953,0.157827E-01
0.595703,0.214833,0.410891
0.598145,0.215714,0.417978
0.600586,0.216594,0.315990E-02
0.603027,0.217475,0.171810
0.605469,0.218355,0.209671
0.607910,0.219235,1.19070
0.610352,0.220116,-0.990737E-01
0.612793,0.220996,-0.504579E-02
0.615234,0.221877,0.356275
0.617676,0.222757,0.108047
0.620117,0.223638,0.420006
0.622559,0.224518,0.264254
0.625000,0.225399,0.278800
0.627441,0.226279,0.954170E-01
0.629883,0.227160,0.189009E-01
0.632324,0.228040,0.218500
0.634766,0.228921,0.306954
0.637207,0.229801,0.109981
0.639648,0.230681,0.319803
0.642090,0.231562,0.279393
0.644531,0.232442,0.284661
0.646973,0.233323,0.349453
0.649414,0.234203,0.107641
0.651855,0.235084,0.186163
0.654297,0.235964,-0.224548E-01
0.656738,0.236845,-0.156621
0.659180,0.237725,-0.716255E-01
0.661621,0.238606,0.264800
0.664062,0.239486,0.316319E-01
0.666504,0.240367,-0.861994E-01
0.668945,0.241247,0.938747E-02
0.671387,0.242127,-0.126120
0.673828,0.243008,0.641641E-01
0.676270,0.243888,0.575902E-01
0.678711,0.244769,0.274590
0.681152,0.245649,-0.127752E-01
0.683594,0.246530,0.927346E-02
0.686035,0.247410,0.146811E-01
0.688477,0.248291,0.590620
0.690918,0.249171,0.727743E-01
0.693359,0.250052,-0.191443E-01
0.695801,0.250932,-0.947975E-01
0.698242,0.251813,0.101671
0.700684,0.252693,-0.393912E-02
0.703125,0.253574,-0.184857E-01
0.705566,0.254454,0.112286
0.708008,0.255334,0.636460E-01
0.710449,0.256215,-0.231424
0.712891,0.257095,0.132382
0.715332,0.257976,-0.800709E-01
0.717773,0.258856,0.152162E-01
0.720215,0.259737,-0.812268E-01
0.722656,0.260617,0.280660
0.725098,0.261498,0.436549E-01
0.727539,0.262378,0.856996E-01
0.729980,0.263259,-0.675993E-01
0.732422,0.264139,0.328719E-01
0.734863,0.265020,-0.156011E-01
0.737305,0.265900,0.268219
0.739746,0.266780,-0.175575
0.742188,0.267661,0.163476
0.744629,0.268541,-0.330084E-01
0.747070,0.269422,-0.814315E-02
0.749512,0.270302,-0.180552E-01
0.751953,0.271183,0.131322
0.754395,0.272063,0.404369E-02
0.756836,0.272944,-0.119451
0.759277,0.273824,0.304586
0.761719,0.274705,0.294659E-01
0.764160,0.275585,0.455953
0.766602,0.276466,-0.159971
0.769043,0.277346,0.177247
0.771484,0.278226,0.953494
0.773926,0.279107,-0.122762
0.776367,0.279987,0.502146
0.778809,0.280868,0.317992E-01
0.781250,0.281748,0.879552E-01
0.783691,0.282629,0.132639
0.786133,0.283509,0.292264
0.788574,0.284390,0.672894E-02
0.791016,0.285270,-0.477520
0.793457,0.286151,0.842988E-01
0.795898,0.287031,0.210866
0.798340,0.287912,-0.169380
0.800781,0.288792,0.117601
0.803223,0.289673,-0.230843
0.805664,0.290553,0.678158
0.808105,0.291433,0.581082E-01
0.810547,0.292314,0.943530
0.812988,0.293194,0.351091
0.815430,0.294075,0.247837
0.817871,0.294955,-0.400154
0.820312,0.295836,-0.537582E-01
0.822754,0.296716,0.551554E-01
0.825195,0.297597,0.377419
0.827637,0.298477,0.395119
0.830078,0.299358,0.630110E-01
0.832520,0.300238,0.259479
0.834961,0.301119,0.383171
0.837402,0.301999,0.475008E-01
0.839844,0.302879,0.585415
0.842285,0.303760,0.116054
0.844727,0.304640,-0.120124
0.847168,0.305521,-0.753700E-01
0.849609,0.306401,-0.197573
0.852051,0.307282,0.105502
0.854492,0.308162,0.382483
0.856934,0.309043,1.38514
0.859375,0.309923,0.739950E-02
0.861816,0.310804,0.255668
0.864258,0.311684,-0.330327E-01
0.866699,0.312565,0.432422
0.869141,0.313445,0.170504
0.871582,0.314326,0.359745
0.874023,0.315206,-0.623327E-02
0.876465,0.316086,0.121803
0.878906,0.316967,0.140662
0.881348,0.317847,0.144360
0.883789,0.318728,0.207538
0.886230,0.319608,0.409321
0.888672,0.320489,-0.302468E-01
0.891113,0.321369,0.701692
0.893555,0.322250,0.537980E-01
0.895996,0.323130,0.122043
0.898438,0.324011,-0.204806
0.900879,0.324891,0.265745
0.903320,0.325772,-0.606450E-02
0.905762,0.326652,0.455396
0.908203,0.327532,0.164773E-01
0.910645,0.328413,0.800243
0.913086,0.329293,0.966719E-02
0.915527,0.330174,-0.468877E-01
0.917969,0.331054,0.433459
0.920410,0.331935,0.427207
0.922852,0.332815,0.517996E-01
0.925293,0.333696,0.131354
0.927734,0.334576,0.205255
0.930176,0.335457,-0.539946E-01
0.932617,0.336337,0.131716
0.935059,0.337218,0.621716E-01
0.937500,0.338098,-0.580115E-01
0.939941,0.338978,0.180101E-01
0.942383,0.339859,0.508214E-01
0.944824,0.340739,-0.162296
0.947266,0.341620,0.797200E-02
0.949707,0.342500,-0.273902E-01
0.952148,0.343381,-0.292023
0.954590,0.344261,0.396530
0.957031,0.345142,-0.494909E-01
0.959473,0.346022,0.821213E-01
0.961914,0.346903,0.584662
0.964355,0.347783,0.834514E-01
0.966797,0.348664,0.361959E-01
0.969238,0.349544,-0.229973E-01
0.971680,0.350425,0.125487
0.974121,0.351305,-0.927956E-01
0.976562,0.352185,0.157702
0.979004,0.353066,0.855046
0.981445,0.353946,-0.443864E-01
0.983887,0.354827,0.186015
0.986328,0.355707,-0.391820
0.988770,0.356588,0.187772
0.991211,0.357468,-0.861531E-01
0.993652,0.358349,0.379626E-01
0.996094,0.359229,-0.616642E-01
0.998535,0.360110,0.303633
1.00098,0.360990,-0.572475E-01
1.00342,0.361871,0.344155
1.00586,0.362751,0.362365E-01
1.00830,0.363631,0.236926
1.01074,0.364512,0.428106E-01
1.01318,0.365392,0.367993
1.01562,0.366273,0.420223E-01
1.01807,0.367153,-0.142401
1.02051,0.368034,-0.280365
1.02295,0.368914,0.511974
1.02539,0.369795,0.322595E-01
1.02783,0.370675,-0.218297E-01
1.03027,0.371556,0.559335E-02
1.03271,0.372436,0.957492E-01
1.03516,0.373317,0.779185
1.03760,0.374197,0.488547
1.04004,0.375077,0.342579
1.04248,0.375958,0.826167E-01
1.04492,0.376838,0.851724
1.04736,0.377719,0.570937E-01
1.04980,0.378599,0.169388E-01
1.05225,0.379480,-0.587935E-01
1.05469,0.380360,-0.149383
1.05713,0.381241,-0.153174
1.05957,0.382121,0.632865E-01
1.06201,0.383002,0.550068
1.06445,0.383882,0.431750
1.06689,0.384763,-0.330095E-01
1.06934,0.385643,0.848398
1.07178,0.386524,0.609518E-01
1.07422,0.387404,-0.429999
1.07666,0.388284,0.489339
1.07910,0.389165,-0.116846
1.08154,0.390045,-0.466955E-01
1.08398,0.390926,0.203339E-01
1.08643,0.391806,0.161214E-01
1.08887,0.392687,-0.204495
1.09131,0.393567,0.508875
1.09375,0.394448,0.120552
1.09619,0.395328,0.271185
1.09863,0.396209,0.821488
1.10107,0.397089,0.148254
1.10352,0.397970,0.230041
1.10596,0.398850,-0.585475E-01
1.10840,0.399730,0.101497
1.11084,0.400611,0.907967E-01
1.11328,0.401491,0.194576
1.11572,0.402372,0.528389
1.11816,0.403252,-0.104743E-01
1.12061,0.404133,-0.334150E-01
1.12305,0.405013,0.463709
1.12549,0.405894,-0.836861E-01
1.12793,0.406774,-0.640585E-01
1.13037,0.407655,0.226449
1.13281,0.408535,0.805104E-01
1.13525,0.409416,0.684747
1.13770,0.410296,0.105336
1.14014,0.411176,-0.408635E-01
1.14258,0.412057,0.555894
1.14502,0.412937,0.400840E-01
1.14746,0.413818,-0.545961E-01
1.14990,0.414698,0.205312
1.15234,0.415579,0.178042
1.15479,0.416459,0.443959E-01
1.15723,0.417340,0.615368
1.15967,0.418220,-0.151691
1.16211,0.419101,-0.355246E-01
1.16455,0.419981,0.825718E-01
1.16699,0.420862,0.111094
1.16943,0.421742,-0.181751
1.17188,0.422623,0.162528
1.17432,0.423503,-0.165568E-01
1.17676,0.424383,-0.230768
1.17920,0.425264,0.214976E-01
1.18164,0.426144,0.246976
1.18408,0.427025,0.502182
1.18652,0.427905,0.914457E-01
1.18896,0.428786,0.364349
1.19141,0.429666,-0.332754E-02
1.19385,0.430547,0.490989
1.19629,0.431427,0.350693
1.19873,0.432308,0.328871E-01
1.20117,0.433188,0.277358
1.20361,0.434069,-0.308997E-01
1.20605,0.434949,-0.954734E-01
1.20850,0.435829,0.442342E-01
1.21094,0.436710,-0.294687E-01
1.21338,0.437590,0.707561E-01
1.21582,0.438471,0.369584E-01
1.21826,0.439351,0.261669
1.22070,0.440232,0.118473E-01
1.22314,0.441112,0.540623E-01
1.22559,0.441993,0.357874
1.22803,0.442873,0.984933E-01
1.23047,0.443754,-0.906429E-02
1.23291,0.444634,0.948415
1.23535,0.445515,0.539452E-01
1.23779,0.446395,-0.131577
1.24023,0.447276,0.620813
1.24268,0.448156,0.348389
1.24512,0.449036,0.337736
1.24756,0.449917,0.721256
1.25000,0.450797,0.914217E-01
1.25244,0.451678,-0.289196E-01
1.25488,0.452558,0.578934E-01
1.25732,0.453439,0.142315
1.25977,0.454319,-0.177367E-02
1.26221,0.455200,0.301908
1.26465,0.456080,0.294039
1.26709,0.456961,-0.240319
1.26953,0.457841,0.387524E-01
1.27197,0.458722,0.682934
1.27441,0.459602,0.232770
1.27686,0.460482,0.140379E-01
1.27930,0.461363,0.231991
1.28174,0.462243,0.434109
1.28418,0.463124,0.117256
1.28662,0.464004,0.759686E-01
1.28906,0.464885,0.117514
1.29150,0.465765,0.124617
1.29395,0.466646,0.102550
1.29639,0.467526,0.116783
1.29883,0.468407,-0.381507
1.30127,0.469287,-0.114302E-01
1.30371,0.470168,0.733242E-01
1.30615,0.471048,0.609663
1.30859,0.471928,0.166772
1.31104,0.472809,0.560177
1.31348,0.473689,-0.199770E-01
1.31592,0.474570,0.104584
1.31836,0.475450,-0.120804
1.32080,0.476331,0.117098
1.32324,0.477211,-0.204914
1.32568,0.478092,0.245873E-01
1.32812,0.478972,0.372748
1.33057,0.479853,0.330473E-01
1.33301,0.480733,-0.244090
1.33545,0.481614,0.301655
1.33789,0.482494,-0.930615E-01
1.34033,0.483375,1.94097
1.34277,0.484255,0.376400
1.34521,0.485135,0.133774
1.34766,0.486016,-0.181920
1.35010,0.486896,0.361247
1.35254,0.487777,0.134050
1.35498,0.488657,-0.287961E-02
1.35742,0.489538,0.242242
1.35986,0.490418,0.121626
1.36230,0.491299,0.287263
1.36475,0.492179,0.345632E-01
1.36719,0.493060,-0.172873E-02
1.36963,0.493940,0.108548
1.37207,0.494821,0.569563
1.37451,0.495701,-0.746324E-01
1.37695,0.496581,-0.717140E-01
1.37939,0.497462,-0.650187E-01
1.38184,0.498342,-0.201575
1.38428,0.499223,-0.612142E-01
1.38672,0.500103,0.245559
1.38916,0.500984,-0.131756
1.39160,0.501864,-0.230573
1.39404,0.502745,-0.851031E-01
1.39648,0.503625,0.298424
1.39893,0.504506,0.397930
1.40137,0.505386,0.491495E-01
1.40381,0.506267,0.441664
1.40625,0.507147,0.304192
1.40869,0.508027,-0.159233E-01
1.41113,0.508908,0.367395E-01
1.41357,0.509788,0.941892E-01
