"TIMESTAMP_START","TIMESTAMP_END","CO2","CO2_SIGMA","H2O","H2O_SIGMA","FC","FC_SSITC_TEST","LE","LE_SSITC_TEST","ET","ET_SSITC_TEST","H","H_SSITC_TEST","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","WD","WS","WS_MAX","USTAR","ZL","TAU","TAU_SSITC_TEST","MO_LENGTH","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","PA","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","TA_2_1_1","RH_2_1_1","T_DP_2_1_1","VPD","T_SONIC","T_SONIC_SIGMA","PBLH"
205310012144,202401261400,320.7696,5.241854,1.895043,0.1480159,2.248945,8,2.965756,7,0.004313493,7,-9.326118,7,77.0131,3824.595,384.8058,225.0449,195.5956,3.166997,5.05146,0.1127169,0.1971028,0.01565843,1,13.69844,3.152606,0.4504961,0,0.317413,1.490116e-08,0.1590204,100.5475,1.593884,26.67839,-15.5691,10.91259,14.49861,-15.16539,11.20622,11.0836,0.3966474,123.5853
202401261400,202401261430,305.6845,3.239112,2.008984,0.1770758,1.060696,5,-2.404595,7,-0.003500222,7,-37.013,5,56.36315,163.5646,81.60467,61.61249,158.3601,4.74715,7.692146,0.2147714,0.1156894,0.05666345,3,23.33835,4.616965,0.9580882,0,0.974614,7.450581e-09,0.2137535,100.5292,2.327928,26.79259,-14.882,11.77962,14.4987,-14.47128,11.87477,11.96152,0.6606116,134.0634
202401261430,202401261500,292.4986,3.661394,1.994626,0.0659633,0.5918779,3,0.1731316,4,0.0002519494,4,-33.78344,3,53.9314,156.4507,78.06457,58.94164,151.8272,5.004476,8.574366,0.2126177,0.1084105,0.0555767,3,24.90535,4.972021,0.6660265,0,0.5743792,-7.450581e-09,0.2236033,100.5092,2.093968,27.10859,-14.93017,11.49859,14.69062,-14.52127,11.62867,11.67903,0.4722665,135.7667
202401261500,202401261530,281.7406,2.894302,1.784117,0.09630382,-0.03259823,7,-1.107771,7,-0.001611923,7,-44.43674,7,50.39237,146.3464,72.9581,55.0844,137.6729,5.418684,9.935993,0.228651,0.1148853,0.06429414,4,23.50171,5.249067,0.6523425,0,1.367688,1.490116e-08,0.2617568,100.4951,1.994333,24.41162,-16.2864,11.39658,13.22853,-15.88223,11.7587,11.55775,0.7982168,134.241
202401261530,202401261600,271.8979,3.206491,1.468745,0.1101874,1.035957,3,0.5483791,7,0.0007970935,7,-34.43972,3,54.26771,157.6718,78.59763,59.33936,139.3965,4.743276,7.099821,0.202925,0.1270916,0.05084792,3,21.24451,4.698622,0.5497101,0,0.647871,0,0.2117578,100.4973,0.8914668,21.75743,-18.60829,10.27306,11.73693,-18.21149,11.08943,10.40501,0.4998079,131.7875
202401261600,202401261630,264.4917,1.79459,1.34503,0.08864945,0.5416235,7,-2.435579,7,-0.003539758,7,-40.77338,7,50.3288,146.5237,72.93151,55.05757,162.3394,4.5804,8.709318,0.2039112,0.14897,0.05136698,5,18.12446,4.464701,1.142573,0,1.041911,7.450581e-09,0.2338037,100.4894,0.7711342,20.08419,-19.63308,10.13564,10.84095,-19.24036,11.11157,10.25672,0.882983,128.3962
202401261630,202401261700,256.9426,2.09791,1.070793,0.07773971,0.225716,7,-2.730241,7,-0.003965062,7,-39.20408,7,56.20905,2605.974,273.0414,161.065,148.6837,4.226352,7.420757,0.1885151,0.1814184,0.0440247,3,14.88272,4.131224,0.9620355,0,0.9108508,7.450581e-09,0.2164781,100.4812,-0.0245415,16.94575,-22.26641,9.358142,9.097097,-21.88087,10.74887,9.454677,0.7722406,124.8725
202401261700,202401261730,256.4643,1.566974,1.298447,0.09003934,1.525342,7,3.179,7,0.004624351,7,-52.98689,7,51.53729,149.1763,74.5302,56.28016,157.003,5.691404,10.67658,0.265894,0.08673475,0.08702518,3,31.12939,5.581702,1.28894,0,1.09822,7.450581e-09,0.295963,100.4551,1.647478,18.20143,-20.05125,11.07307,9.838826,-19.65875,11.96874,11.19045,1.020829,142.532
202401261730,202401261800,257.0044,0.765148,1.2781,0.0595437,0.9410038,3,4.511802,3,0.006562536,3,-64.18121,3,52.10624,150.8483,75.35972,56.90586,150.3256,6.40937,10.40213,0.2814454,0.08852046,0.09755177,1,30.50142,6.279579,1.091043,0,1.313869,7.450581e-09,0.3090032,100.4726,1.578112,18.03154,-20.21705,10.98013,9.757141,-19.82598,11.89552,11.09537,0.7609704,141.8494
202401261800,202401261830,254.1941,1.353767,1.097805,0.06803178,1.197143,3,2.350985,3,0.003415797,3,-75.33372,3,51.50657,148.7385,74.42212,56.2051,160.0443,6.367084,11.56759,0.3182245,0.07206122,0.1252176,3,37.46814,6.145972,1.474547,0,1.648266,-1.490116e-08,0.3544756,100.4615,0.4747739,16.75892,-21.97559,9.823987,9.04359,-21.59115,11.09516,9.922917,0.693604,149.4219
202401261830,202401261900,251.9306,1.161141,0.966953,0.06424442,0.3319347,3,3.036491,3,0.004410359,3,-67.99014,3,52.93213,151.9119,76.31479,57.65176,153.5022,7.407911,12.63766,0.3534178,0.04744649,0.1546306,1,56.90621,7.22615,1.208008,0,1.608048,1.490116e-08,0.3804697,100.4565,0.1204515,15.15075,-23.41884,9.485414,8.153085,-23.0382,10.95369,9.57252,0.7341554,170.5502
202401261900,202401261930,250.3958,1.05346,0.8929354,0.08231814,1.014928,3,5.305708,3,0.0077066,3,-69.84949,3,54.03909,154.8707,77.87433,58.83367,145.413,7.762564,12.24692,0.3663594,0.04368628,0.166119,1,61.8043,7.677753,1.007051,0,1.147898,1.490116e-08,0.384329,100.4424,0.1133477,13.99113,-24.33939,9.528099,7.509623,-23.95993,11.06391,9.608482,0.7792242,175.8742
202401261930,202401262000,249.7694,1.330294,0.7792905,0.07214842,1.264026,3,9.68949,3,0.01407531,3,-97.1057,3,55.71369,160.0725,80.3666,60.70837,157.7297,7.400043,12.77885,0.3854024,0.05209172,0.183809,3,51.83165,7.252906,1.469904,0,1.413543,1.490116e-08,0.3891732,100.4545,0.2515976,12.11963,-25.8468,9.619021,6.541321,-25.47459,11.26041,9.689065,0.9952022,165.0344
202401262000,202401262030,249.283,0.8457694,0.6387374,0.08011646,1.258457,3,10.1022,3,0.01467167,3,-79.62668,3,52.9816,152.8327,76.52858,57.79851,153.5614,6.616704,12.63212,0.330773,0.06743857,0.1355626,1,40.03644,6.512436,1.24271,0,1.18575,7.450581e-09,0.355676,100.4947,0.05072846,10.08633,-28.05195,9.393346,5.448601,-27.68783,11.21345,9.450025,0.8435256,152.2135
202401262030,202401262100,246.7142,1.163486,0.4957662,0.07135718,0.3398493,5,5.747172,5,0.00833961,5,-57.8431,5,54.76856,157.5783,79.0409,59.70305,155.5455,5.894939,11.66419,0.3148264,0.05691605,0.1232017,5,47.43829,5.779113,1.662372,0,1.179681,7.450581e-09,0.324779,100.4918,-0.7961097,8.316882,-30.77436,8.49487,4.486434,-30.42005,10.65851,8.539006,0.8271894,160.259
202401262100,202401262130,243.2755,0.7628542,0.4015024,0.03831596,0.7786397,3,4.429211,3,0.006426871,3,-58.70166,3,52.50157,152.0081,75.93573,57.34037,154.2332,5.18962,8.239658,0.2720166,0.08967422,0.0919964,1,30.10899,5.146289,0.9234879,0,0.6804916,-7.450581e-09,0.2958428,100.4973,-0.8900574,6.783075,-32.92596,8.450614,3.640748,-32.57665,10.71365,8.486043,0.6467084,141.4228
202401262130,202401262200,239.7894,0.9547985,0.3522997,0.03563075,1.048735,3,4.901132,3,0.007108977,3,-59.08734,3,55.6833,160.3586,80.39133,60.71999,140.7441,5.804003,10.27088,0.3096429,0.06117241,0.1193716,3,44.13755,5.677308,1.369122,0,1.164753,2.235174e-08,0.3128858,100.4935,-1.283208,6.128201,-34.27537,8.057902,3.284676,-33.92997,10.47344,8.088486,0.7385347,156.6713
202401262200,202401262230,236.3648,0.8988782,0.338354,0.04374333,1.400133,3,2.978252,3,0.004318182,3,-53.10837,3,54.67078,157.7756,78.98722,59.65348,156.6829,5.624221,10.13741,0.2848014,0.07077613,0.101131,3,38.14846,5.483589,1.200845,0,1.250449,7.450581e-09,0.2944617,100.4889,-1.67938,6.047578,-34.7143,7.64388,3.235452,-34.37042,10.18283,7.673794,0.619603,150.1614
202401262230,202401262300,236.6089,0.7771231,0.5044819,0.06102489,0.945621,7,3.208825,7,0.004656725,7,-54.4343,7,54.39802,156.2349,78.45413,59.26522,140.8381,6.931481,13.44069,0.3216825,0.05034859,0.1285255,3,53.62613,6.811414,1.227249,0,1.326514,0,0.3346798,100.4506,-0.7819142,8.45465,-30.57395,8.598951,4.536154,-30.21564,10.73016,8.643731,0.8634399,166.9849
202401262300,202401262330,238.7635,1.116692,0.5239937,0.06717226,0.339725,2,9.873164,1,0.01434589,1,-88.72531,1,54.91905,158.0036,79.25718,59.86652,124.378,8.073114,15.8753,0.3633385,0.05679515,0.1631591,3,47.53927,7.970582,1.358277,0,1.308504,1.490116e-08,0.3735412,100.4158,0.4613928,8.0174,-30.18547,9.893524,4.316698,-29.82558,11.72768,9.941283,0.675852,160.3688
