UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:56:24, 8, 0, 98146,  ,  , -10.47, 72.60,  ,  ,  , 
20:56:29, 8, 0, 98146,  ,  , -10.04, 73.40,  ,  ,  , 
20:56:30, 8, 0, 98146,  ,  , -9.91, 73.40,  ,  ,  , 
20:56:31, 7, -1, 98147,  ,  , -9.90, 73.40,  ,  ,  , 
20:56:32, 7, -1, 98148,  ,  , -9.96, 73.30,  ,  ,  , 
20:56:33, 8, 0, 98146,  ,  , -10.08, 73.20,  ,  ,  , 
20:56:34, 8, 0, 98144,  ,  , -10.23, 73.05,  ,  ,  , 
20:56:35, 8, 0, 98142,  ,  , -10.40, 72.80,  ,  ,  , 
20:57:35, 8, 0, 98142,  ,  , -10.55, 68.15,  ,  ,  , 0
20:57:37, 8, 0, 98140,  ,  , -10.69, 67.50,  ,  ,  , 0
20:57:38, 8, 0, 98140,  ,  , -10.73, 67.45,  ,  ,  , 0
20:57:39, 8, 0, 98140,  ,  , -10.74, 67.40,  ,  ,  , 0
20:57:40, 8, 0, 98140,  ,  , -10.83, 67.45,  ,  ,  , 0
20:57:41, 8, 0, 98140,  ,  , -10.86, 67.60,  ,  ,  , 0
20:57:42, 8, 0, 98138,  ,  , -10.88, 67.75,  ,  ,  , 0
20:57:43, 8, 0, 98137,  ,  , -10.91, 67.95,  ,  ,  , 0
20:57:44, 8, 0, 98136,  ,  , -10.94, 68.10,  ,  ,  , 0
20:57:50, 8, 0, 98134,  ,  , -10.98, 68.80,  ,  ,  , 0
20:57:51, 8, 0, 98134,  ,  , -11.25, 68.90,  ,  ,  , 0
20:57:52, 8, 0, 98134,  ,  , -11.36, 68.85,  ,  ,  , 0
20:57:53, 8, 0, 98134,  ,  , -11.41, 68.80,  ,  ,  , 0
20:57:54, 8, 0, 98134,  ,  , -11.43, 68.75,  ,  ,  , 0
20:57:55, 8, 0, 98134,  ,  , -11.45, 68.70,  ,  ,  , 0
20:57:56, 8, 0, 98134,  ,  , -11.44, 68.70,  ,  ,  , 0
20:57:57, 9, 0, 98132,  ,  , -11.41, 68.70,  ,  ,  , 0
20:57:58, 9, 0, 98131,  ,  , -11.40, 68.70,  ,  ,  , 0
20:57:59, 9, 0, 98130,  ,  , -11.30, 68.85,  ,  ,  , 0
20:58:00, 9, 0, 98130,  ,  , -11.26, 69.10,  ,  ,  , 0
20:58:01, 9, 0, 98131,  ,  , -11.22, 69.45,  ,  ,  , 0
20:58:02, 9, 0, 98132,  ,  , -11.24, 69.85,  ,  ,  , 0
20:58:03, 9, 0, 98130,  ,  , -11.27, 70.25,  ,  ,  , 0
20:58:04, 9, 0, 98129,  ,  , -11.29, 70.60,  ,  ,  , 0
20:58:05, 9, 0, 98128,  ,  , -11.31, 70.90,  ,  ,  , 0
20:58:06, 9, 0, 98130,  ,  , -11.30, 71.15,  ,  ,  , 0
20:58:07, 9, 0, 98132,  ,  , -11.27, 71.30,  ,  ,  , 0
20:58:08, 8, 0, 98134,  ,  , -11.24, 71.40,  ,  ,  , 0
20:58:09, 9, 0, 98132,  ,  , -11.16, 71.60,  ,  ,  , 0
20:58:10, 9, 0, 98130,  ,  , -11.08, 71.85,  ,  ,  , 0
20:58:11, 9, 0, 98128,  ,  , -10.88, 72.15,  ,  ,  , 0
20:58:12, 9, 0, 98127,  ,  , -10.60, 72.60,  ,  ,  , 0
20:58:13, 9, 0, 98126,  ,  , -10.34, 73.10,  ,  ,  , 0
20:58:14, 9, 0, 98126,  ,  , -10.10, 73.65, -5.5,  ,  , 0
20:58:15, 9, 0, 98128,  ,  , -10.07, 74.20,  ,  ,  , 0
20:58:16, 9, 0, 98131,  ,  , -10.11, 74.80,  ,  ,  , 0
20:58:17, 8, 0, 98134,  ,  , -10.14, 75.40,  ,  ,  , 0
20:58:18, 9, 0, 98132,  ,  , -10.26, 75.85,  ,  ,  , 0
20:58:19, 9, 0, 98131,  ,  , -10.35, 76.15,  ,  ,  , 0
20:58:20, 9, 0, 98130,  ,  , -10.48, 76.30,  ,  ,  , 0
20:58:21, 9, 0, 98128,  ,  , -10.62, 76.30,  ,  ,  , 0
20:58:22, 9, 0, 98127,  ,  , -10.74, 76.20,  ,  ,  , 0
20:58:23, 9, 0, 98126,  ,  , -10.89, 76.00,  ,  ,  , 0
20:58:24, 9, 0, 98127,  ,  , -11.03, 75.80,  ,  ,  , 0
20:58:25, 9, 0, 98128,  ,  , -11.21, 75.55,  ,  ,  , 0
20:58:26, 9, 0, 98130,  ,  , -11.39, 75.25,  ,  ,  , 0
20:58:27, 9, 0, 98129,  ,  , -11.47, 75.00,  ,  ,  , 0
20:58:28, 9, 0, 98128,  ,  , -11.55, 74.70,  ,  ,  , 0
20:58:29, 9, 0, 98128,  ,  , -11.44, 74.45,  ,  ,  , 0
20:58:30, 9, 0, 98128,  ,  , -11.38, 74.25,  ,  ,  , 0
20:58:31, 9, 0, 98129,  ,  , -11.32, 74.10,  ,  ,  , 0
20:58:32, 9, 0, 98130,  ,  , -11.26, 74.00,  ,  ,  , 0
20:58:32, 9, 0, 98129,  ,  , -11.24, 73.90,  ,  ,  , 0
20:58:33, 9, 0, 98128,  ,  , -11.26, 73.85,  ,  ,  , 0
20:58:34, 9, 0, 98128,  ,  , -11.23, 73.80,  ,  ,  , 0
20:58:36, 9, 0, 98128,  ,  , -11.15, 73.75,  ,  ,  , 0
20:58:37, 9, 0, 98128,  ,  , -11.14, 73.70,  ,  ,  , 0
20:58:40, 10, 1, 98117, 0.80, 349.00, -11.29, 73.55,  ,  ,  , 0.1
20:58:41, 10, 1, 98112, 0.10, 349.00, -11.47, 73.50, -5.0, 78.202497, 15.829662, 0.1
20:58:43, 9, 0, 98123, 0.10, 349.00, -11.80, 73.25,  ,  ,  , 0
20:58:44, 9, 0, 98130, 0.05, 349.00, -11.95, 73.05,  , 78.202462, 15.829685, 0
20:58:47, 9, 0, 98126, 0.10, 349.00, -12.05, 72.60,  , 78.202473, 15.829558, 0
20:58:49, 9, 0, 98122, 0.10, 349.00, -12.11, 72.20,  , 78.202462, 15.829653, 0
20:58:51, 9, 0, 98124, 0.10, 349.00, -12.12, 72.05,  ,  ,  , 0
20:58:52, 9, 0, 98126, 0.10, 349.00, -12.11, 72.00,  , 78.202442, 15.829688, -0.1
20:58:56, 9, 0, 98122, 0.10, 349.00, -12.11, 71.90,  , 78.202460, 15.829695, 0
20:58:58, 9, 0, 98122, 0.05, 349.00, -12.20, 71.85,  , 78.202487, 15.829618, 0
20:59:01, 9, 0, 98122, 0.00, 349.00, -12.26, 71.80,  ,  ,  , 0
20:59:02, 9, 0, 98122, 0.05, 349.00, -12.32, 71.80,  , 78.202488, 15.829577, 0
20:59:03, 9, 0, 98121, 0.10, 349.00, -12.40, 71.80,  ,  ,  , 0
20:59:04, 10, 1, 98120, 0.15, 349.00, -12.45, 71.70,  ,  ,  , 0
20:59:05, 10, 1, 98120, 0.10, 349.00, -12.49, 71.70,  , 78.202477, 15.829623, 0
20:59:07, 9, 0, 98124, 0.20, 349.00, -12.51, 71.65,  ,  ,  , 0
